Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
"J10, J11, J8, J9",PinSocket_1x20_P2.54mm_Vertical,4,Conn_01x20_Socket,
"J3, J4",PinSocket_1x01_P2.54mm_Vertical,2,Conn_01x01_Socket,
R1,0805,1,470 OhM,
R2,0805,1,10 kOhm,
U1,rpi_rmc20452t,1,RM2,
